zoningdistrict2edm,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,count
,C4-4A,R5B,,,9
,M1-1,R3A,R5B,R6B,1
,R2,C4-2,,,6
,C2-8A,C5-1A,,,1
,R6B,R7-1,,,1
,M1-4,R8A,R6A,,1
,M1-5,C6-3,,,4
,C1-6A,R8B,,,2
,R3-1,R6A,,,78
,R5,R4,,,108
,R7D,R6A,,,22
,C6-3X,C6-2A,C1-9A,,1
,R6B,C4-3A,,,43
,R3-2,R1-2,R2,,1
,R4,R5D,,,58
,R6A,R8A,,,10
,R8A,C1-6A,,,3
C8-1,R3X,,,,5
,C4-5D,R6,,,11
,R8,C4-7,,,2
,R4A,C3,,,5
,R5,R7A,R7B,,1
,C3,R4-1,,,6
,M1-4,R6A,R5B,,1
,R7A,R3-2,R6A,,1
,R6,R8,,,9
,R2A,R2A,,,1
,R3X,R3-1,,,170
,M1-1,R4-1,,,15
,R5B,C4-4A,,,10
,R7B,R7A,,,38
,R3A,R5B,,,74
,R3A,R3-1,,,65
,R7B,C4-4,R4A,,1
,R8A,R6A,,,9
,M1-4,M1-1,,,3
,R6,R3X,,,1
,C1-7,R6,,,10
,R4A,M1-1,,,13
R4,R2,,,,7
,R10,C5-2,,,3
,M1-1,R7A,,,2
,C4-4A,R7-1,,,9
R3A,R2,,,,1
,R3-2,R4,M1-1,,1
,R6B,R8B,,,5
,R8B,R6B,,,4
,C4-6,R7-1,,,1
,R5,R7D,,,1
,R8B,C5-3,,,2
,R5,R4A,R4,R2,1
,C8-2,C4-2A,,,3
,C6-3A,R8A,,,1
,C6-7,C5-2.5,,,1
,R6,M1-4,,,6
,R6A,R5B,R4-1,,2
,R5D,R7D,,,1
,M1-5,R6,,,1
,R7A,R5,R6A,,2
,M1-2/R5B,M1-2/R5D,M1-2/R6A,,1
,R3-2,C8-1,,,30
,R5D,M1-4,,,2
,M1-5B,R7-2,,,1
,C4-4,M1-4/R6A,,,1
,C6-4,M1-5,,,5
,R10,R9X,,,3
,C4-3,R6B,,,25
,R5B,R7B,R6B,,1
,M3-1,C4-3,,,2
,C4-3,R5,,,1
,R3-2,C3A,R3-1,,1
,M1-4D,R4-1,,,1
,R3-2,R2A,,,83
,M1-3,R6,,,2
M2-1,PARK,,,,3
,R7-2,M1-2,,,2
,R7-1,C4-4,,,9
,R5B,R7X,,,3
,R6B,C4-5D,,,13
,R6B,M1-1/R7D,,,1
M2-1,PARKNYS,,,,10
,C8-2,C4-4A,,,1
,R6B,R5A,R5,,1
,R7-1,R7B,,,6
,R4-1,R5B,R4A,,1
,R6B,R2A,,,1
R3-1,PARK,,,,5
,R3X,R4-1,,,26
,R2,R4B,,,1
,R7A,R4A,,,13
,R8,C1-8,,,2
,R6B,R3A,,,41
,R6,R4A,,,12
,M1-2,M1-1,,,13
,C4-3A,M1-4D,,,1
,R2X,R6A,R5,,1
,C4-2A,R5,,,13
,R8A,C8-2,,,1
,R4-1,R6B,,,187
,R3A,R3X,,,13
,R8B,C6-2A,C1-9,,1
,C1-9,R8B,,,102
,M1-2/R6,M1-2/R6B,,,1
,R8,C6-3,,,3
,R7A,M1-5,,,1
,R8A,M1-2,,,2
,R3-2,R3X,,,197
,R7B,R5,,,26
,R4-1,R6,,,17
,R4B,C4-2A,,,4
,C4-5X,M1-4/R7X,M1-4/R7A,,1
,R6B,M1-1,,,40
,R3-2,R4-1,,,3
,R7A,R6A,,,90
,R6B,C4-2A,R5B,,1
,C5-1,C5-3,,,1
,R3A,R6,,,22
,R7A,R5B,,,115
,C8-2,R8,,,4
,C4-4,R7A,,,4
,R10A,R8B,,,71
,R3-1,R5,,,5
,R3-1,R3X,,,110
,C5-P,C5-2.5,,,1
,C4-2,R3A,,,1
,C1-6,C4-5,R6,,1
,R6A,R5D,R4,,1
,C3,C8-1,,,5
,M1-2,R4B,,,2
,M1-4,M1-4/R7A,,,2
,C2-8,C6-3A,,,2
,R3-2,R5B,,,5
,R5B,R8B,,,2
,R7A,M1-2/R6A,,,3
,R4A,R7A,,,17
,R5D,R2A,R4,,1
,M1-3/R7X,M1-2/R5D,,,1
,M1-1,R5B,,,20
,C1-9,C8-4,,,2
,C4-1,R4,,,1
,M1-1,C6-2,,,1
,R10A,R8B,R9X,,1
,C1-9,C6-6,,,1
,M1-1,R3-1,,,9
,R4B,R3-1,,,11
,M1-1,R7-1,,,20
,C4-5X,M1-4/R7A,R6A,,1
,R5,R4-1,,,76
,C5-3,C1-9,,,1
,C4-4A,C4-2A,,,1
,C4-7,R10A,,,1
,C1-9A,R8A,,,1
,C4-3,C4-2,,,10
,R3-1,C8-1,,,2
,R7A,M1-5/R7-2,,,4
,R6B,M1-2/R6A,,,6
,R5D,M1-1,,,1
,R7-1,C8-2,,,1
,R10,C2-8,,,1
,C6-4,M1-5M,,,6
,R4-1,R4-1,,,1
PARK,C4-1,,,,1
,M1-2D,M1-2,,,4
C4-2A,C4-2,M2-1,,,2
,R9,R10A,,,1
,C4-5X,R7-1,,,1
,R10,M1-4,,,4
,R3X,R6A,R3A,,1
,M1-2/R6A,M1-1,,,1
,R2A,R4A,,,3
,C6-2,C6-1,,,21
,R5B,C8-1,,,10
,M1-4,R7D,,,3
,R6B,R6B,,,1
,R3X,R5,,,17
,M1-1,R6,,,53
,C2-8,R7-2,,,6
,C6-4,C5-2,,,1
,M1-4/R6B,M1-4/R7A,,,2
R3-2,R3-1,R3X,,,1
,R6B,C4-4A,,,12
,M1-4/R6B,R7X,R6A,,1
,C1-7,R7-2,,,7
,C4-4,R7-2,,,16
,R6,R7-2,,,13
,C4-2,R2,,,12
,R3A,R1-2,,,13
,R7A,R7-2,,,12
,M1-4/R6A,M1-4/R7A,,,1
,C8-2,R7-1,,,4
,R1-2,R3-2,,,12
R3A,R4,,,,2
,R8,C6-4,,,9
,R4,R3-1,,,5
,R4,C8-1,R4B,,1
,C6-2A,C6-3A,,,9
,R7-2,R8B,,,2
,C3A,R4A,R4,,1
,M1-4/R7A,C4-5X,R7-1,,1
,R7-1,C6-2,,,1
,C3,R4A,,,4
R3-2,C4-1,,,,1
,R5B,R2,,,54
,R7A,R7B,R6A,,1
,C1-6,C6-2A,,,1
M1-1,R3A,,,,2
,C6-3,M1-5,,,4
,M1-6,C6-7,,,1
,C8-1,R4A,,,4
,R8B,C5-2,,,2
,C6-3X,R7D,,,1
,R10A,C1-8A,,,2
,R3-2,R4,,,15
,R1-2,R5,,,6
,R8B,R9A,,,11
,R7A,R4-1,R6A,R5,1
,R8B,C5-1,,,26
,R4-1,R1-2A,,,1
,R6B,R5,C8-1,,1
,C2-8,C6-4,,,1
,C6-3A,R8B,,,1
R3A,R3-2,,,,64
,R3A,R6B,,,19
,C6-2A,R7A,,,1
,R8,C2-7,,,1
,M1-4,R7A,,,7
,R1-2A,R3-2,,,2
R3-2,M3-1,,,,3
,R8,C2-8,,,4
,C4-3A,R6B,R6A,,1
,C6-6.5,C6-6,,,5
,C6-4,M1-6,C6-4M,,1
,R7-2,C1-7,,,6
,M1-1,M1-3,,,3
,R9,C1-9,,,3
,R6B,M1-4D,,,3
,C5-2A,R6,,,1
,R6A,R3X,R3-1,,1
,M1-1,C8-1,,,4
,R7A,C6-1,,,1
,M1-1,C4-2A,,,6
,C8-1,R4B,,,1
,R10,C5-1,,,5
,C8-1,R6,,,28
,C6-6,M1-6,,,1
,R1-1,R6,,,5
C4-1,R3A,,,,5
,R6B,R3-1,,,6
,R7D,R7A,,,2
,C1-8A,R8B,,,18
,R7A,R7X,,,9
,M1-1,M1-4/R7A,,,5
,R7B,R5,R4,,1
,R10,C5-1A,,,2
,C4-3,C4-4A,,,1
,C3A,M1-1,,,2
,M1-2,M1-2/R5D,,,1
,R10,C5-3,,,3
,C4-5D,R7D,,,1
,C6-4A,M1-5M,,,1
,R4A,R6,,,27
R3-1,M3-1,,,,1
,C6-6,C5-2.5,,,3
,R6B,C6-1,,,54
,R5,M1-1,,,96
,R6B,M1-4,R6A,,2
,R7-1,C4-6,,,1
,R3-1,R4,R2,,1
,R6,M2-1,,,1
,C2-8,R8A,,,4
,C6-7,C6-5.5,,,1
,R7B,R6B,,,24
,R3-2,R5,,,9
C4-1,R3X,,,,1
,R3-1,R2A,,,30
,M1-2,C8-1,,,1
,M1-2/R6,R6,,,1
,C4-2A,C8-2,,,2
,R6,R5,R6A,,1
R3-2,C4-2A,,,,1
,C4-4,R7B,,,1
,R7A,R3-1,,,3
,C6-4A,C6-4M,,,1
,R6A,R4,,,128
,R4-1,R5B,R4B,,1
,M1-4/R8A,M3-1,,,1
,M3-1,M2-1,,,17
,R2A,C8-1,,,10
,R6A,R7B,,,8
,R5,R1-2,,,4
,R3X,R5B,,,27
,C6-1,R8B,,,8
,R5D,R6A,,,11
,C4-2,R4,,,2
,C4-5D,R5B,,,2
,R8B,R10,,,81
,R8,M3-1,,,1
,R5B,M1-4D,,,2
,C4-4,M2-1,,,1
,M3-1,R4,,,3
,M1-5A,M1-5B,,,5
,R2,R4,,,25
,C6-5.5,C6-7T,,,5
,R6A,R5A,,,75
,C6-4M,M1-5M,C6-2A,,1
,R8,C8-4,,,1
,R2,R1-2,,,28
,C6-2,R6,,,3
,R5,C4-3,,,1
,R3-1,C8-1,R3X,,1
,R7D,R6A,R6B,,1
,R5B,R3-2,,,9
,R8B,C1-6A,,,6
R3A,M1-1,,,,6
R1-2,R3-2,R1-1,,,1
,R2X,R5,,,4
,R3-1,C4-1,,,1
,R10A,R9,,,1
,R6A,M1-2/R6,,,1
,R7-1,R6B,,,1
,C5-2,R10,,,1
,M1-4/R6A,M1-4,,,2
,C5-1,R10,,,4
,R7A,R6,R5A,,1
,C6-4.5,C6-6,,,15
,C1-9,R9,,,1
,C6-4A,R8B,,,5
,R7B,C1-9,,,1
,C1-9A,R7B,R7-2,,1
,R4A,R5B,,,31
,R4,R6B,,,54
,C8-3,R5,,,1
,C6-2,R5,,,1
,C6-5,C6-7,,,7
,M1-1,C4-5X,,,8
,R8B,R10,C1-8X,,1
,C6-4,R6,,,1
,C4-2A,R4-1,,,7
,R6,C1-6A,,,4
,R7-1,R7X,,,2
,C3,R4,,,10
,R9A,R8,,,1
R3-2,M1-1,,,,3
,C6-1,R6B,,,3
,R3-2,R6,,,4
,R3-1,R4-1,R6B,,1
,M1-5/R9,M1-5/R7-3,,,10
,R2A,R3-2,,,65
,R9A,R7-2,,,1
R3X,M3-1,,,,2
,R4B,R2A,,,34
,R7A,M1-1,,,9
,C2-7,R8,,,1
,C2-7A,C6-3X,,,1
,M1-1,R5,R6B,,2
,M3-1,M1-2,M1-4,R6B,1
,C6-2M,C6-3A,C6-2A,,1
,R5B,R7A,R6A,,1
,R8,C4-6A,,,2
,R4A,R3A,,,4
,R8B,C6-3X,,,2
,C3A,R4,,,3
,R7-1,C4-4A,,,4
,C6-4,C6-1,,,5
,M1-4/R6A,M3-1,,,2
,R1-2,R6A,,,4
,R4-1,R2A,,,15
,R2,R4A,,,10
,R5,R2X,R6A,,1
,M1-4,C4-3,,,3
,R7-2,R9,,,5
,R7X,R6A,,,16
,R7X,R4,,,2
,R6,R6,,,1
,R7-2,R7A,,,7
,R7-1,R4A,,,7
,R5,R6B,R5A,,1
,R8A,R9A,,,1
,R1-2,R4,,,19
,C1-8X,R8B,,,38
,R8,R7A,,,7
,C6-2,C6-3A,,,1
,R3X,M1-1,,,8
,R6A,R4A,,,70
,R3-2,R3-1,,,68
,C6-1G,C6-2G,,,6
,R8,R6,,,22
,C6-1,C6-2G,,,4
,C8-1,R3A,,,9
,R5D,R6,,,33
,C6-3,C6-4,M1-5,,1
,R8B,R8A,,,24
,R7-2,R6B,,,1
,R7A,R5,R4A,,1
,R5B,R6B,,,212
,C2-6,C1-6,R6,,1
,C6-2A,R6,,,11
,R5B,R6B,R7X,,1
,C4-5X,C6-3,,,5
,M1-1,R7X,,,2
,R1-1,R6A,,,3
,C4-4D,C6-3,,,3
,C1-9A,R8,C1-9,,1
,M1-2/R6A,R7A,,,1
,C6-4,C5-2A,,,1
,R7A,R5,,,154
,R9X,R10,,,1
,R5D,R2,,,16
,R5,M1-2/R6A,,,4
,R2A,R4-1,,,28
M2-1,M1-1,,,,1
,R8B,C6-3A,,,1
,R4-1,R4,,,196
,R9,C2-8,,,1
,C6-1,R7A,,,1
,R5B,R6B,M1-4D,,1
,R4,R5,,,110
,R3X,R1-2,,,33
,R2,R6A,,,8
,R3-2,R3A,,,216
,C4-2A,C4-2,,,3
,R6,M1-1,,,54
,M1-1,R4B,,,9
,R4B,R4,,,28
,M1-5B,R7-2,M1-5A,,1
R1-1,R2,,,,5
,R6A,R8,,,2
,R6A,R5D,R6B,,1
,C6-1,C1-9,,,1
,C6-4M,C6-3A,,,1
,C5-2,C1-9,,,1
,R4,R3X,,,30
,C1-9A,C1-9,,,1
,R8A,R7A,,,24
,R6A,R6,,,31
,R3-1,R4B,,,12
,R4A,R7-1,,,8
R3X,R1-2,,,,4
,R7A,R4-1,,,94
,M1-4/R6B,M1-4/R6A,R6A,,1
,R3A,R5,,,8
,C2-8,C8-4,R8B,,1
,C6-2A,C6-1,,,2
,C8-3,R7-2,,,21
,R5,R7A,,,54
,M3-1,R6,,,2
,R5,C4-3A,,,1
,R7A,R8A,,,46
,R9,R8,,,1
,C1-6,R6,,,48
,R4-1,R5,,,78
,R2,R5D,,,9
,M1-4D,R5B,,,10
,R6,R5D,,,42
,R3-2,R3A,C8-1,,2
,M3-1,M1-5/R8A,,,2
,R9A,R7B,,,2
,C2-8,C8-4,,,2
,R1-2,R1-1,,,10
R3A,M3-1,,,,3
,R7-1,R4,,,9
,C6-3,C2-8,,,1
,C6-2A,R8X,,,1
,R8A,R8,,,4
,R5A,R7-1,,,27
,C6-6,C5-2,,,2
,R2,R7-1,,,2
,R8,R10,,,6
,C6-2A,C4-4A,,,7
,R7-1,R7B,R4,,1
,C6-3X,R6A,,,1
,R10,C4-7,,,2
,R7-2,C1-9,,,7
,R7-1,M1-2,,,6
,C4-4D,R5B,,,11
,R6A,C4-3,,,15
,R10,R7-2,C1-7,,1
,R10,R9,,,2
,C1-7,C1-6,,,1
C4-2,M3-1,,,,3
,C1-8X,R7-2,,,2
,C8-1,R3X,,,12
,R9A,R8B,,,24
,R2,R5B,,,34
,R6B,C4-3,C4-4A,,1
,R4,R7-1,,,8
,R3-2,R6A,,,1
,C4-3,R5D,,,11
,M1-4,C2-8,,,1
,C6-4,C6-3,,,1
,C4-4D,R6A,,,3
,C6-2A,M1-4/R6A,,,1
,M1-2/R6A,M1-2/R5D,,,3
,C6-6,C5-P,,,2
,R7-2,C8-3,,,11
,C6-3X,C6-4,,,1
,C8-3,C6-2,,,1
,R5D,R7B,R6B,R5,1
,M1-1,R2,,,1
,R6,C2-6,,,31
,R6A,R6B,,,544
C4-1,R3-1,,,,20
,R5D,C4-2A,,,1
R4,M3-1,,,,1
,R3-1,R3-2,,,77
C4-2,R5,,,,1
,R4A,R2A,,,1
,C6-4,C6-5,,,4
,R4-1,R3X,,,27
,M1-1,R3X,,,7
,R5,R2,,,5
,C1-9,R8,,,6
,R7B,R7D,,,14
,R7A,R6A,R6B,,1
,R4,R4-1,M1-1,,1
,R3A,C4-2,,,10
,R3-2,R1-2A,,,16
,R8,C8-3,,,11
,R4A,R2,,,12
,R5D,R3A,,,202
,C4-4L,R6B,,,2
,C5-2.5,C5-2,C6-6,,1
,R6,R7A,,,14
,C5-3,C5-2.5,,,75
R3X,R3-1,,,,28
,R5A,R7D,,,1
,M1-2,R7A,,,3
,R4,R7B,,,17
,M1-2,R8A,,,2
,C4-2F,C4-7,R10,,2
,C6-3A,M1-6,C6-4X,,1
,R7X,R5,,,8
,R4B,R5D,,,3
,C1-9,R10,,,4
,R2A,R5D,,,8
,C4-2A,R5D,,,2
,R2A,R3-1,R3-2,,1
,M1-5B,C6-1,,,1
,M1-4D,R5B,R4-1,,1
,R7-1,R4B,,,5
,C1-6A,C6-2A,,,3
,R4B,R2,,,2
,R6B,R6,,,56
,C4-5A,C6-4A,,,4
,C8-2,R6A,R6B,,1
,R7A,R6B,R6,,1
,R7A,C4-3,,,2
,C6-2A,C5-2,,,1
,M1-2/R8A,R7-1,,,1
,M1-4/R7A,R6B,,,1
,R4,R4A,,,150
,R8A,C6-2A,,,3
,C4-5X,M1-1,,,6
,C5-1,R8B,R10,,1
,R5D,R4,,,121
,R9,R10,,,3
,R7X,R7B,,,5
M3-1,PARK,,,,4
,R6A,R7A,,,84
,R5,R6A,R6,,1
,C4-4,R7D,,,1
,R8A,R8B,,,9
,R3-1,R2A,R1-2,,1
,R3X,R4A,,,11
,R7A,R3X,,,17
,R3A,R4,,,44
R3-1,R3X,R2,,,1
,C4-2A,C4-4A,,,7
,C5-3,M1-6,,,3
,R5,R4,R2,,1
,R7A,R7B,R6B,,1
,M1-1,R6A,R4,,1
,R5,R5B,,,9
R3X,PARKNYS,,,,2
,R4-1,R7X,R5B,,1
,R7X,R6,,,3
,R7A,R5D,,,4
,C8-1,R2A,,,5
,C4-5,R6,,,19
,R7D,R6,,,3
,M1-4D,C4-3A,,,2
C4-2,M1-1,,,,3
,R1-2,R7A,,,11
,C5-3,C5-1,,,4
,R5,R7B,,,21
,C6-3,C6-4,,,2
,C6-4M,M1-5M,,,10
,R8B,R8,,,14
,R7A,R5,R2,,1
,R7-1,C4-2,,,4
,R5B,R2A,,,12
,R8,C1-9,,,5
,C6-6,C5-3,,,5
,R2A,R6B,,,10
,R3-2,R7A,,,11
,M1-1,R6B,,,32
,R7B,R5B,R5A,,1
R3-1,R4,,,,1
,C6-4,M1-4,,,2
,C5-2.5,C5-3,C5-2,,1
,M1-1/R7-2,R6,,,6
,R6B,R5A,,,5
,R7A,R9,,,2
,M1-1,M1-1/R7-2,,,6
,C4-1,C8-1,,,2
,R6,C8-3,,,3
,R10A,R7-2,,,9
,R10,C2-8,R8,,1
,C8-2,R7A,,,2
,R6B,R7X,,,6
,R3X,C8-1,,,2
,R5,R4,C8-1,,1
,R2,R5,,,24
,C5-3,C6-4.5,,,11
,M1-6,C6-6,,,3
,C8-1,R3A,R3-2,,1
,R3A,C3,,,5
,R7-2,C2-6,,,2
,M3-1,M1-2,R6B,,1
,R5B,R6A,R7A,,2
C4-1,R2,,,,1
,R4-1,C8-1,,,19
,R5B,R3A,,,99
,M1-5M,C6-4,,,5
R3X,R2,,,,1
,R4-1,R7B,,,3
,M3-1,R2,,,1
,C4-3,M1-4,,,1
,R1-1,R4,,,2
,M1-2,C4-2,,,1
,R10,R6,,,6
,R3X,R2A,,,17
,R6,R4-1,,,27
,C6-4A,C4-5A,C6-2A,,1
,C6-1A,C6-4,,,1
,R5A,R7B,,,4
,R7A,R7D,R6A,,1
,R6A,R3-2,,,11
,R8,C2-6,,,2
,C8-1,R6B,R3X,,1
,C1-7,C6-1,,,5
,R2,C3A,R3-1,,1
,C8-1,R4-1,R4,,1
,R6B,R5,R7B,,1
,C6-2,C2-7,,,1
,M1-1/R7-2,R7-2,,,1
R3-2,PARK,,,,12
,M1-5,R7-1,,,2
,R10H,C5-1,,,5
,R5B,R4,,,36
,R6B,R6A,R8A,,2
,C8-2,C8-4,,,1
,R6B,R3-2,R3X,,1
,M1-4,R6,,,5
,R6,R7-1,,,61
,R6B,R6,R4,,1
C4-2A,R3-2,R4,,,1
,M3-1,M1-1,R6B,,1
,C2-8,R9,,,1
,R2A,R5B,,,4
,M1-5M,C6-4M,,,4
,R7-1,R8,,,10
,C8-1,R6A,,,4
,R4-1,C4-2A,,,3
,C1-9,R7B,,,1
,C6-4,R8B,,,1
,R3A,M1-1,,,17
,R5B,R7A,,,65
,M1-6,C6-6.5,,,1
,R6B,R7A,R5B,,1
,R7A,R5B,M1-4,R6A,1
,R3A,R4-1,,,4
,R6B,R7D,,,50
,R6,C4-2,,,23
,C6-6,R8B,,,6
,C6-2,R7-1,,,1
,R7B,C4-4,,,4
,R5,R3X,,,19
,R5,R4A,R4-1,,1
R4,C4-2,M1-1,,,1
,R6A,M1-2,,,1
,R6B,C4-4L,,,2
,C6-7,C6-5,,,1
,C8-1,R3A,R4,,1
R3A,PARK,,,,1
,R3A,R6A,R4,,1
,C6-2A,C1-6,,,1
,M1-1,C8-1,M2-1,,1
,R5D,R5B,,,72
,C2-8,R8,,,3
,R6A,C8-2,,,2
,C8-1,R6B,,,2
,C6-3X,C6-2A,,,1
,R5B,R7B,,,26
,R3-1,R6B,,,2
,R8B,R7-2,,,1
,C6-3,C6-2,,,4
R2,R3-2,,,,3
,R7D,R7B,,,2
,R6,C4-3A,,,4
,C4-2,R5B,R5D,,1
,R7A,R6A,R5,,1
,C8-1,R5,,,53
,M3-2,M1-4,,,1
R4,C4-2,,,,1
,R6A,R5B,,,103
PARK,R3X,,,,4
,R8,R5A,,,3
,M1-1,R5D,,,1
,R4-1,M1-1,,,17
,R7B,R4,,,19
,R7B,C1-6A,,,1
,R4B,R4,R5D,,1
,R5,R7X,,,12
,M1-1/R7-2,R7-1,,,1
,R7-2,R8,,,48
,M1-4,R5D,,,1
,R8A,C6-3X,,,2
,R6A,R3-1,,,186
,R7X,M1-4/R6B,,,4
,C1-8,R8A,,,2
,C4-3,M1-1,,,3
,R6A,C4-4D,,,15
,R3-1,R6,,,4
,M1-5/R7X,M1-5,,,1
,R4,R6A,,,80
,R7A,R6B,R8A,,1
,R6A,R7-1,,,3
,R8B,C8-4,,,1
,R3A,R3-2,,,137
,R6A,M1-4/R6B,,,3
,M1-1,M2-1,,,7
,R6B,M1-1,R5,,1
,R6A,C4-5X,,,5
,R4,R8B,,,2
,M3-2,M1-4/R6B,,,1
,R6,R4,C4-3,,1
,R4-1,C8-1,M1-1,,1
R3X,M2-1,,,,1
,R5,C8-1,,,93
,C6-3,C6-3A,,,1
,C6-2,C6-2M,,,3
,R6,R10,,,1
,R5,C8-2,,,30
R5,R3A,,,,2
R4,R1-2,,,,3
,C4-3,R6,,,42
,C2-7A,R8A,,,1
R3A,C8-1,R3-2,,,1
,C1-9A,R7B,,,1
,M1-1,R3-1,R3-2,,1
,R5A,R4,,,1
,R6,R4,,,58
,M1-4,C6-4,,,3
,C5-P,C5-3,,,1
,C6-3A,C5-3,,,1
,R7B,C4-4D,,,1
,C4-4,R4A,,,1
,R5D,R3X,,,20
,M1-5/R8A,M1-4/R7A,,,1
,C8-2,C4-2,,,1
,R5,R4A,,,52
,C4-6A,R8B,R10A,,1
,R7B,R5,R6B,,1
,R7A,R5B,R7X,,1
,R7B,R8A,,,8
,R4,C4-3,,,2
,R8,C1-9A,,,1
,R4-1,R3-2,,,3
,R4B,R6B,,,30
,C4-2,M2-1,,,2
,C3,R3A,,,3
,R8B,R10,R9X,,2
,C8-2,R6,,,45
,M1-2/R6,M1-2/R6A,,,4
,R8A,R5B,,,38
,R3-1,R2,,,45
,R6A,C8-1,,,9
,R7X,R6B,,,4
,C4-7,C4-2F,R10,,1
,C6-6.5,C5-3,,,2
,R7A,R7D,,,2
,C4-4,R7-1,,,3
,R7-2,C6-1,,,1
,C4-2,C4-4A,,,1
C8-1,R3A,,,,4
,R7X,R4-1,,,4
,C1-9,C5-3,,,1
,R2A,R4,,,43
,R5B,C8-2,,,4
,C4-4A,R4,,,1
,C6-4,R7-1,,,3
,C6-2A,C4-5A,,,3
,R7A,C4-4D,,,2
,R3A,R4A,,,9
,C4-4A,C4-5X,,,5
,M1-1,C4-5X,C8-3,,1
,M1-1,C3,,,3
,R6B,R4,,,109
,C4-3A,R6,,,1
,R3A,C3A,,,39
,C1-7A,C1-6A,,,2
,C6-3,C4-5X,,,10
,R5,R5D,,,46
,R5A,R8,,,3
,M1-1,R5B,R4-1,,1
,R4-1,R7A,,,43
,C6-5.5,C6-6,,,5
,R7-2,C6-1G,,,16
,R5,R6A,,,120
,R7B,R7-1,,,2
M3-1,M2-1,,,,1
,C6-6,C5-2,C1-9,,1
,R6B,R7A,,,287
,R5B,R1-2A,,,4
,R6A,R1-1,,,1
,R3-2,R3-2,,,1
,R8B,C1-9,,,55
,M1-5/R7-3,M1-5/R9,,,3
,R3X,R6B,,,9
,R1-2,R2A,,,13
,R2,R3-2,,,130
,R8B,R10,C5-1,,1
,C6-4,C6-2A,C6-1,,1
,C6-2,R6B,,,1
,M1-6,C6-4M,,,8
,M1-1,M1-2/R6A,,,2
,R8,R7B,,,3
,R8B,R7-2,R7A,,1
,R6A,R3X,,,124
,M1-2/R5B,M1-2/R6A,,,17
,R4A,R3X,,,17
R3A,R3X,,,,1
R2,R1-2,,,,5
,C6-3A,C2-8A,,,1
R1-2,R1-1,,,,7
,M2-1,R7-2,,,2
,C4-6,C2-8,,,1
,C8-1,R3-1,,,4
,R6,M3-1,,,3
,R8,R7-1,,,10
,R10,R8,,,8
,R5,C4-2A,,,19
,C6-3A,M1-5,,,2
,M2-3,M1-5,,,2
,R10,R8,R9,,1
,M1-1,R4,,,50
